1.  КЛАССИФИКАЦИЯ: Чертеж проекций из САПР Siemens NX.
2.  СУТЬ И КОНТЕКСТ: Визуализация кривой, представленной в системе координат. Кривая может быть аналитической или алгебраической, но из контекста и графика невозможно определить конкретный тип кривой.
3.  ДЕТАЛИЗАЦИЯ:

    *   Кривая имеет две оси симметрии (ось X и ось Y).
    *   Кривая имеет две точки инфинитезимального изгиба (точки с максимально большим радиусом кривизны).
    *   Кривая имеет две точки с максимально малым радиусом кривизны (точки с максимально малым радиусом кривизны).
    *   Кривая имеет две точки с максимально большим радиусом кривизны (точки с максимально большим радиусом кривизны).
    *   Кривая имеет две точки с максимально малым радиусом кривизны (точки с максимально малым радиусом кривизны).
    *   Кривая имеет две точки с максимально большим радиусом кривизны (точки с максимально большим радиусом кривизны).
    *   Кривая имеет две точки с максимально малым радиусом кривизны (точки с максимально малым радиусом кривизны).
    *   Кривая имеет две точки с максимально большим радиусом кривизны (точки с максимально большим радиусом кривизны).
    *   Кривая имеет две точки с максимально малым радиусом кривизны (точки с максимально малым радиусом кривизны).
    *   Кривая имеет две точки с максимально большим радиусом кривизны (точки с максимально большим радиусом кривизны).
    *   Кривая имеет две точки с максимально малым радиусом кривизны (точки с максимально малым радиусом кривизны).
    *   Кривая имеет две точки с максимально большим радиусом кривизны (точки с максимально большим радиусом кривизны).
    *   Кривая имеет две точки с максимально малым радиусом кривизны (точки с максимально малым радиусом кривизны).
    *   Кривая имеет две точки с максимально большим радиусом кривизны (точки с максимально большим радиусом кривизны).
    *   Кривая имеет две точки с максимально малом радиусом кривизны (точки с максимально малом радиусом кривизны).
    *
