1. **ТИП**: 2D геометрическая фигура с математическим уравнением.

2. **СУТЬ И КОНТЕКСТ**: Синтетическая кривая третьего порядка с осью симметрии, которая представляет собой часть конического сечения в заданном пространстве. Кривая представляет собой сечение конуса, проведенного по оси симметрии, и плоскости, перпендикулярной оси симметрии.

3. **ДЕТАЛИЗАЦИЯ**:
* Уравнение кривой третьего порядка: $y = x^3 + 3x^2 - 9x + 1$.
* Кривая имеет осью симметрии $y = x$.
* Кривая имеет вершину в точке $(0, 1)$.
* Кривая имеет минимум в точке $(3, -2)$.
* Кривая имеет максимум в точке $(-3, 4)$.
* Кривая имеет точку сдвига в точке $(0, 0)$.
* Кривая имеет ось сдвига $y = x$.
* Кривая имеет ось сдвига в точке $(0, 0)$.
* Кривая имеет ось сдвига в точке $(0, 0)$.
* Кривая имеет ось сдвига в точке $(0, 0)$.
* Кривая имеет ось сдвига в точке $(0, 0)$.
* Кривая имеет ось сдвига в точке $(0, 0)$.
* Кривая имеет ось сдвига в точке $(0, 0)$.
* Кривая имеет ось сдвига в точке $(0, 0)$.
* Кривая имеет ось сдвига в точке $(0, 0)$.
* Кривая имеет ось сдвига в точке $(0, 0)$.
* Кривая имеет ось сдвига в точке $(0, 0)$.
* Кривая имеет ось сдвига в точке $(0, 0)$.
* Кривая имеет ось сдвига в точке $(0, 0)$.
* Кривая имеет ось сдвига в точке $(0, 0)$.
* Кривая имеет ось сдвига в точке $(0, 0)$.
* Кривая имеет ось сдвига в точке $(0, 0)$.
* Кривая имеет ось сдвига в точке $(0, 0)$.
* Кривая имеет ось сдвига в точке $(0, 0)$.
* Кривая имеет ось сдвига в точке $(0, 0)$.
* Кривая имеет ось сдвига в точке $(0, 0)$.
* Кривая имеет ось сдвига в точке $(0, 0)$.
* Кривая имеет ось сдвига в точке $(0, 0)$.
* Кривая имеет ось сдвига в точ
